Rally,Date,Success,Pack,Attempts,PropAdults,InitiatorPOA,Leader POA,DF RNE?,DM RNE?,Tot RNE
1,9/6/2014,0,AP,1,0.89,unk,n/a,0,0,0
1,9/6/2014,1,AP,2,0.89,POA3,POA1,0,1,13
2,10/6/2014,0,AP,1,0.89,POA3,n/a,0,0,0
2,10/6/2014,1,AP,2,0.78,POA1,POA3,3,4,25
3,15/06/14,0,BW,1,1,unk,n/a,na,na,2
4,17/07/14,0,AP,1,0.22,unk,n/a,0,0,0
4,17/07/14,0,AP,2,0.78,unk,n/a,1,1,4
5,20/07/14,1,AP,1,0.78,POA1,POA3,0,3,14
6,23/07/14,0,ZU,1,0.5,POA2,n/a,0,,0
6,23/07/14,1,ZU,2,1,POA3,POA3,1,,11
7,2/8/2014,1,BW,1,1,POA2,POA1,na,na,5
8,3/8/2014,0,AP,1,0.67,unk,n/a,0,0,0
8,3/8/2014,0,AP,2,0.33,POA1 (PUP),n/a,0,0,0
8,3/8/2014,0,AP,3,0,unk,n/a,0,0,0
8,3/8/2014,0,AP,4,0.67,POA3,n/a,0,0,0
9,11/9/2014,0,AP,1,0.44,POA2,n/a,0,0,1
9,11/9/2014,0,AP,2,0,POA2,n/a,0,0,0
9,11/9/2014,1,AP,3,0.67,POA1,POA1,3,4,22
10,12/9/2014,0,AP,1,0.56,POA2,n/a,0,0,9
10,12/9/2014,1,AP,2,0.22,POA1,POA1,0,0,13
11,16/09/14,0,AP,1,0,POA1,n/a,0,0,1
11,16/09/14,0,AP,2,0.33,POA2,n/a,2,1,4
11,16/09/14,1,AP,3,0.33,POA1,POA2,3,0,17
12,17/09/14,0,HT,1,1,POA3,n/a,0,0,0
12,17/09/14,0,HT,2,1,POA2,n/a,1,,4
13,18/09/14,1,BW,1,1,POA2,POA1,na,na,2
13,18/09/14,1,BW,2,0.5,POA1,POA1,na,na,5
14,23/09/14,0,AP,1,0.78,unk,n/a,0,0,0
14,23/09/14,0,AP,2,0.67,POA1,n/a,0,0,0
15,24/09/14,0,AP,1,0.78,POA2,n/a,0,0,0
15,24/09/14,0,AP,2,0,POA3,n/a,0,0,0
15,24/09/14,1,AP,3,0.44,POA1,unk,1,0,4
16,27/09/14,1,ZU,1,0.75,POA1,POA3,-1,,18
17,30/09/14,0,AP,1,0.44,POA2,n/a,0,0,2
17,30/09/14,0,AP,2,0,POA3,n/a,0,0,0
17,30/09/14,0,AP,3,0.33,POA3,n/a,0,0,0
17,30/09/14,1,AP,4,0,unk,unk,0,0,0
18,13/10/14,0,AP,1,0.11,POA2,n/a,0,0,1
18,13/10/14,1,AP,2,0,POA1,unk,0,0,0
19,8/11/2014,0,ZU,1,0.75,POA3,n/a,0,,1
20,8/12/2014,1,AP,1,0.89,POA3,POA1,1,0,7
21,18/12/14,1,LP,1,0.75,POA1,POA1,0,0,2
21,18/12/14,0,LP,2,0.5,POA1,n/a,0,0,0
21,18/12/14,1,LP,3,0.75,POA3,POA1,1,0,3
22,6/1/2015,1,BW,1,0,unk,unk,na,na,0
23,7/1/2015,0,BW,1,0.5,POA2,n/a,na,na,2
23,7/1/2015,1,BW,2,0.5,POA2,POA1,na,na,2
24,8/1/2015,0,AP,1,0.89,POA3,n/a,0,0,2
24,8/1/2015,0,AP,2,0.78,POA3,n/a,2,0,6
24,8/1/2015,1,AP,3,0.78,POA1,POA1,1,0,1
25,24/01/15,0,AP,1,0.89,POA3,n/a,4,0,5
25,24/01/15,1,AP,2,0.89,POA1 (PUP),POA1,1,0,4
26,25/01/15,0,ZU,1,0,POA3,n/a,0,,1
26,25/01/15,1,ZU,2,0.25,POA2,POA3,0,,0
27,13/02/15,1,HT,1,1,POA2,POA1,0,3,10
28,19/02/15,0,HT,1,0,unk,n/a,0,0,0
28,19/02/15,0,HT,2,1,POA3,n/a,0,0,0
28,19/02/15,0,HT,3,0,POA2,n/a,0,0,0
28,19/02/15,1,HT,4,1,unk,unk,0,0,2
29,5/3/2015,1,HT,1,1,POA2,POA3,0,0,21
30,29/03/15,0,AP,1,0.4,POA3,n/a,0,0,0
30,29/03/15,1,AP,2,1,POA1,POA3,2,0,8
31,8/4/2015,0,HT,1,0.86,POA3,n/a,0,0,1
32,10/4/2015,0,HT,1,1,POA3,n/a,0,0,0
33,17/04/15,0,HT,1,0.29,POA2,n/a,0,0,0
33,17/04/15,1,HT,2,0,POA3,POA1,0,1,2
34,25/04/15,0,HT,1,1,POA3,n/a,0,0,1
34,25/04/15,1,HT,2,1,POA3,POA1,1,1,6
